Port: /dev/ttyACM0
Baud: 115200
Is the serial port open? Yes.
Heading: 20.1, Pitch: -0.9, Roll: 1.2
Heading: 20.2, Pitch: -1, Roll: 1.3
Heading: 20.2, Pitch: -1, Roll: 1.3
Heading: 20.2, Pitch: -0.8, Roll: 1.5
Heading: 20.2, Pitch: -0.8, Roll: 1.5
Heading: 20.4, Pitch: -0.9, Roll: 1.3
Heading: 20.4, Pitch: -0.9, Roll: 1.3
Heading: 20.3, Pitch: -0.8, Roll: 1.3
Heading: 20.3, Pitch: -0.8, Roll: 1.3
Heading: 20.2, Pitch: -0.8, Roll: 1.3
Heading: 20.2, Pitch: -0.8, Roll: 1.3
Heading: 19.9, Pitch: -1, Roll: 1.3
Heading: 19.9, Pitch: -1, Roll: 1.3
Heading: 20.2, Pitch: -0.9, Roll: 1.3
Heading: 20.2, Pitch: -0.9, Roll: 1.3
Heading: 20.2, Pitch: -0.8, Roll: 1.5
Heading: 20.2, Pitch: -0.8, Roll: 1.5
Heading: 19.9, Pitch: -0.9, Roll: 1.3
Heading: 19.9, Pitch: -0.9, Roll: 1.3
Heading: 20.6, Pitch: -1, Roll: 1.4
Heading: 20.3, Pitch: -0.8, Roll: 1.1
Heading: 20.3, Pitch: -0.8, Roll: 1.1
Heading: 20.2, Pitch: -0.9, Roll: 1.2
Heading: 20.2, Pitch: -0.9, Roll: 1.2
Heading: 20.2, Pitch: -1, Roll: 1.2
Heading: 20.2, Pitch: -1, Roll: 1.2
Heading: 20.7, Pitch: -0.7, Roll: 1.3
Heading: 20.7, Pitch: -0.7, Roll: 1.3
Heading: 20.7, Pitch: -1, Roll: 1.1
Heading: 20.7, Pitch: -1, Roll: 1.1
Heading: 20.4, Pitch: -0.8, Roll: 1.4
Heading: 20.4, Pitch: -0.8, Roll: 1.4
Heading: 20, Pitch: -1, Roll: 1.5
Heading: 20, Pitch: -1, Roll: 1.5
Heading: 20.2, Pitch: -0.8, Roll: 1.4
Heading: 20.2, Pitch: -0.8, Roll: 1.4
Heading: 19.9, Pitch: -0.8, Roll: 1.4
Heading: 19.9, Pitch: -0.8, Roll: 1.4
Heading: 19.9, Pitch: -0.9, Roll: 1.2
Heading: 19.9, Pitch: -0.9, Roll: 1.2
Heading: 19.9, Pitch: -1, Roll: 1.1
Heading: 19.9, Pitch: -1, Roll: 1.1
Heading: 20.1, Pitch: -1, Roll: 1.3
Heading: 20.1, Pitch: -1, Roll: 1.3
Heading: 20.2, Pitch: -1, Roll: 1.2
Heading: 20.2, Pitch: -1, Roll: 1.2
Heading: 19.8, Pitch: -0.9, Roll: 1.3
Heading: 19.8, Pitch: -0.9, Roll: 1.3
Heading: 20, Pitch: -1, Roll: 1.2
Heading: 20, Pitch: -1, Roll: 1.2
Heading: 20.8, Pitch: -0.9, Roll: 1.1
Heading: 20.8, Pitch: -0.9, Roll: 1.1
Heading: 20.3, Pitch: -1, Roll: 1.2
Heading: 20.3, Pitch: -1, Roll: 1.2
Heading: 20.8, Pitch: -0.8, Roll: 1.1
Heading: 20.8, Pitch: -0.8, Roll: 1.1
Heading: 19.5, Pitch: -1, Roll: 1.3
Heading: 19.5, Pitch: -1, Roll: 1.3
Heading: 20.4, Pitch: -1.1, Roll: 1.3
Heading: 20.4, Pitch: -1.1, Roll: 1.3
Heading: 20.5, Pitch: -0.7, Roll: 1.3
Heading: 20.5, Pitch: -0.7, Roll: 1.3
